# wavelength transmittance reflectance absorbance transmittance reflectance absorbance
0.890000 4.1401552200e-05 1.4892340000e-02 9.8506626000e-01 3.6166729500e-05 2.5154880000e-02 9.7480895000e-01
0.900000 4.2541016900e-05 1.4971360000e-02 9.8498610000e-01 3.7150245500e-05 2.6068220000e-02 9.7389463000e-01
0.910000 4.3697269600e-05 1.5065050000e-02 9.8489125000e-01 3.8150290900e-05 2.6968510000e-02 9.7299334000e-01
0.920000 4.4872008300e-05 1.5163780000e-02 9.8479135000e-01 3.9168123800e-05 2.7845370000e-02 9.7211546000e-01
0.930000 4.6065386000e-05 1.5266040000e-02 9.8468789000e-01 4.0204181800e-05 2.8696390000e-02 9.7126340000e-01
0.940000 4.7282428100e-05 1.5372970000e-02 9.8457975000e-01 4.1263648500e-05 2.9520830000e-02 9.7043790000e-01
0.950000 4.8507087500e-05 1.5480820000e-02 9.8447068000e-01 4.2332072400e-05 3.0317790000e-02 9.6963988000e-01
0.960000 4.9755711000e-05 1.5589910000e-02 9.8436033000e-01 4.3424963100e-05 3.1083120000e-02 9.6887345000e-01
0.970000 5.1005438100e-05 1.5700640000e-02 9.8424836000e-01 4.4522082700e-05 3.1821190000e-02 9.6813428000e-01
0.980000 5.2285902900e-05 1.5806410000e-02 9.8414130000e-01 4.5650365000e-05 3.2518500000e-02 9.6743585000e-01
0.990000 5.3585736300e-05 1.5907300000e-02 9.8403911000e-01 4.6799993900e-05 3.3176700000e-02 9.6677650000e-01
1.000000 5.4898424600e-05 1.6005310000e-02 9.8393979000e-01 4.7965962600e-05 3.3798010000e-02 9.6615402000e-01
1.010000 5.6230610500e-05 1.6096730000e-02 9.8384704000e-01 4.9154442100e-05 3.4376700000e-02 9.6557415000e-01
1.020000 5.7575708600e-05 1.6183610000e-02 9.8375881000e-01 5.0360434100e-05 3.4914930000e-02 9.6503471000e-01
1.030000 5.8933702200e-05 1.6265210000e-02 9.8367585000e-01 5.1584531200e-05 3.5410950000e-02 9.6453746000e-01
1.040000 6.0311319400e-05 1.6338530000e-02 9.8360116000e-01 5.2833013200e-05 3.5859850000e-02 9.6408732000e-01
1.050000 6.1720830800e-05 1.6401540000e-02 9.8353674000e-01 5.4117666800e-05 3.6256420000e-02 9.6368946000e-01
1.060000 6.3143410900e-05 1.6458120000e-02 9.8347874000e-01 5.5422491600e-05 3.6606890000e-02 9.6333769000e-01
1.070000 6.4566673000e-05 1.6509910000e-02 9.8342552000e-01 5.6736867900e-05 3.6914250000e-02 9.6302902000e-01
1.080000 6.6022041800e-05 1.6551050000e-02 9.8338293000e-01 5.8089608100e-05 3.7166410000e-02 9.6277550000e-01
1.090000 6.7497273900e-05 1.6583680000e-02 9.8334883000e-01 5.9470221200e-05 3.7367110000e-02 9.6257342000e-01
1.100000 6.8985456500e-05 1.6609900000e-02 9.8332111000e-01 6.0873619700e-05 3.7518490000e-02 9.6242064000e-01
1.110000 7.0506076700e-05 1.6626170000e-02 9.8330332000e-01 6.2317784800e-05 3.7613470000e-02 9.6232421000e-01
1.120000 7.2026984200e-05 1.6638660000e-02 9.8328932000e-01 6.3774534500e-05 3.7662680000e-02 9.6227354000e-01
1.130000 7.3560655300e-05 1.6645560000e-02 9.8328088000e-01 6.5255998900e-05 3.7661590000e-02 9.6227315000e-01
1.140000 7.5126833900e-05 1.6643870000e-02 9.8328100000e-01 6.6780398100e-05 3.7604130000e-02 9.6232909000e-01
1.150000 7.6692884800e-05 1.6639720000e-02 9.8328359000e-01 6.8319031500e-05 3.7500840000e-02 9.6243084000e-01
1.160000 7.8291477300e-05 1.6628260000e-02 9.8329345000e-01 6.9902003900e-05 3.7342080000e-02 9.6258802000e-01
1.170000 7.9909757100e-05 1.6612490000e-02 9.8330760000e-01 7.1518127800e-05 3.7132860000e-02 9.6279562000e-01
1.180000 8.1540586800e-05 1.6594090000e-02 9.8332437000e-01 7.3162144900e-05 3.6875330000e-02 9.6305151000e-01
1.190000 8.3183853100e-05 1.6573690000e-02 9.8334313000e-01 7.4834577600e-05 3.6570180000e-02 9.6335498000e-01
1.200000 8.4859796500e-05 1.6549190000e-02 9.8336595000e-01 7.6554104300e-05 3.6213370000e-02 9.6371007000e-01
1.210000 8.6542048500e-05 1.6525820000e-02 9.8338764000e-01 7.8296818800e-05 3.5814220000e-02 9.6410748000e-01
1.220000 8.8236522900e-05 1.6502870000e-02 9.8340889000e-01 8.0069503900e-05 3.5370910000e-02 9.6454902000e-01
1.230000 8.9956436100e-05 1.6479040000e-02 9.8343100000e-01 8.1885031900e-05 3.4881020000e-02 9.6503709000e-01
1.240000 9.1702911700e-05 1.6456700000e-02 9.8345160000e-01 8.3743442300e-05 3.4348970000e-02 9.6556729000e-01
1.250000 9.4139923100e-05 1.6414520000e-02 9.8349134000e-01 8.6201319000e-05 3.3732940000e-02 9.6618086000e-01
1.260000 9.6612154700e-05 1.6391660000e-02 9.8351173000e-01 8.8711042300e-05 3.3099560000e-02 9.6681173000e-01
1.270000 9.9112012600e-05 1.6388940000e-02 9.8351195000e-01 9.1267031700e-05 3.2450550000e-02 9.6745818000e-01
1.280000 1.0163912900e-04 1.6406940000e-02 9.8349142000e-01 9.3869658900e-05 3.1787270000e-02 9.6811886000e-01
1.290000 1.0420071400e-04 1.6446460000e-02 9.8344933000e-01 9.6525541300e-05 3.1111320000e-02 9.6879215000e-01
