# wavelength transmittance reflectance absorbance transmittance reflectance absorbance
1.140000 6.8329789100e-05 1.9287960000e-02 9.8064371000e-01 7.1547693700e-05 1.5915810000e-02 9.8401264000e-01
1.150000 6.9465114000e-05 2.0484130000e-02 9.7944641000e-01 7.2702078200e-05 1.7219490000e-02 9.8270781000e-01
1.160000 7.0620543700e-05 2.1708490000e-02 9.7822089000e-01 7.3868008000e-05 1.8570460000e-02 9.8135567000e-01
1.170000 7.1784771000e-05 2.2961950000e-02 9.7696627000e-01 7.5034152600e-05 1.9968430000e-02 9.7995653000e-01
1.180000 7.2950754700e-05 2.4242450000e-02 9.7568460000e-01 7.6193380100e-05 2.1410660000e-02 9.7851314000e-01
1.190000 7.4118483100e-05 2.5548880000e-02 9.7437700000e-01 7.7345967300e-05 2.2895060000e-02 9.7702759000e-01
1.200000 7.5306329200e-05 2.6878860000e-02 9.7304584000e-01 7.8511250600e-05 2.4418350000e-02 9.7550313000e-01
1.210000 7.6491461500e-05 2.8236500000e-02 9.7168700000e-01 7.9666162100e-05 2.5982950000e-02 9.7393738000e-01
1.220000 7.7678118100e-05 2.9618190000e-02 9.7030413000e-01 8.0815169700e-05 2.7584510000e-02 9.7233468000e-01
1.230000 7.8877521900e-05 3.1021290000e-02 9.6889983000e-01 8.1970098500e-05 2.9219340000e-02 9.7069869000e-01
1.240000 8.0092193100e-05 3.2449880000e-02 9.6747002000e-01 8.3134295100e-05 3.0889760000e-02 9.6902710000e-01
1.250000 8.1957667000e-05 3.3966530000e-02 9.6595151000e-01 8.4975902700e-05 3.2645060000e-02 9.6726996000e-01
1.260000 8.3842928900e-05 3.5512380000e-02 9.6440378000e-01 8.6831654600e-05 3.4436640000e-02 9.6547653000e-01
1.270000 8.5740461200e-05 3.7086730000e-02 9.6282753000e-01 8.8693800300e-05 3.6262850000e-02 9.6364846000e-01
1.280000 8.7649755600e-05 3.8689830000e-02 9.6122252000e-01 9.0561990300e-05 3.8122890000e-02 9.6178655000e-01
1.290000 8.9577585800e-05 4.0323030000e-02 9.5958739000e-01 9.2443547400e-05 4.0016870000e-02 9.5989069000e-01
1.300000 9.1535521900e-05 4.1984640000e-02 9.5792383000e-01 9.4350450100e-05 4.1942080000e-02 9.5796357000e-01
1.310000 1.0578201200e-04 4.2350150000e-02 9.5754407000e-01 1.0884248000e-04 4.2506860000e-02 9.5738430000e-01
1.320000 1.0980285400e-04 4.3907090000e-02 9.5598311000e-01 1.1284288700e-04 4.4303160000e-02 9.5558400000e-01
1.330000 1.1391207100e-04 4.5501560000e-02 9.5438453000e-01 1.1692602900e-04 4.6133510000e-02 9.5374956000e-01
1.340000 1.1810921200e-04 4.7134160000e-02 9.5274773000e-01 1.2109151300e-04 4.7997950000e-02 9.5188095000e-01
1.350000 1.2239373400e-04 4.8805370000e-02 9.5107224000e-01 1.2533887500e-04 4.9896440000e-02 9.4997822000e-01
1.360000 1.2676504800e-04 5.0515790000e-02 9.4935744000e-01 1.2966762800e-04 5.1829080000e-02 9.4804125000e-01
1.370000 1.3122243700e-04 5.2265840000e-02 9.4760294000e-01 1.3407716600e-04 5.3795840000e-02 9.4607008000e-01
1.380000 1.3576509800e-04 5.4055950000e-02 9.4580828000e-01 1.3856680700e-04 5.5796760000e-02 9.4406468000e-01
1.390000 1.4039218600e-04 5.5886570000e-02 9.4397304000e-01 1.4313585500e-04 5.7831870000e-02 9.4202499000e-01
1.400000 1.4510273800e-04 5.7758000000e-02 9.4209690000e-01 1.4778349700e-04 5.9901180000e-02 9.3995104000e-01
1.410000 1.4989566900e-04 5.9670540000e-02 9.4017956000e-01 1.5250881300e-04 6.2004660000e-02 9.3784283000e-01
1.420000 1.5476991400e-04 6.1624470000e-02 9.3822076000e-01 1.5731092800e-04 6.4142330000e-02 9.3570036000e-01
1.430000 1.5972425000e-04 6.3620030000e-02 9.3622025000e-01 1.6218880400e-04 6.6314200000e-02 9.3352362000e-01
1.440000 1.6475737500e-04 6.5657260000e-02 9.3417799000e-01 1.6714134300e-04 6.8520090000e-02 9.3131277000e-01
1.450000 1.6986797600e-04 6.7736420000e-02 9.3209371000e-01 1.7216744700e-04 7.0760120000e-02 9.2906771000e-01
1.460000 1.7505459900e-04 6.9857430000e-02 9.2996752000e-01 1.7726588900e-04 7.3034050000e-02 9.2678869000e-01
1.470000 1.8031573500e-04 7.2020380000e-02 9.2779930000e-01 1.8243538000e-04 7.5341870000e-02 9.2447569000e-01
1.480000 1.8564984500e-04 7.4225160000e-02 9.2558919000e-01 1.8767463800e-04 7.7683380000e-02 9.2212895000e-01
1.490000 1.9105528600e-04 7.6471740000e-02 9.2333720000e-01 1.9298225600e-04 8.0058500000e-02 9.1974852000e-01
1.500000 1.9653034400e-04 7.8759860000e-02 9.2104361000e-01 1.9835677700e-04 8.2466930000e-02 9.1733471000e-01
