# wll SA_transmittance SA_reflectance SA_absorbance SA_transmittance SA_reflectance SA_absorbance
1.520000 0.000163 0.182042 0.817795 0.000189 0.095316 0.904494
1.530000 0.000167 0.185413 0.814420 0.000194 0.097893 0.901913
1.540000 0.000170 0.188773 0.811057 0.000199 0.100497 0.899304
1.550000 0.000174 0.192122 0.807704 0.000204 0.103129 0.896667
1.560000 0.000178 0.195458 0.804365 0.000209 0.105787 0.894004
1.570000 0.000181 0.198781 0.801038 0.000214 0.108471 0.891315
1.580000 0.000185 0.202091 0.797724 0.000219 0.111180 0.888601
1.590000 0.000189 0.205388 0.794424 0.000224 0.113912 0.885863
1.600000 0.000192 0.208670 0.791138 0.000230 0.116669 0.883102
1.610000 0.000196 0.211937 0.787867 0.000235 0.119448 0.880318
1.620000 0.000200 0.215190 0.784610 0.000240 0.122248 0.877512
1.630000 0.000204 0.218427 0.781370 0.000245 0.125070 0.874685
1.640000 0.000208 0.221648 0.778145 0.000251 0.127912 0.871837
1.650000 0.000211 0.224853 0.774935 0.000256 0.130774 0.868970
1.660000 0.000215 0.228042 0.771743 0.000261 0.133654 0.866085
1.670000 0.000219 0.231215 0.768566 0.000267 0.136552 0.863181
1.680000 0.000223 0.234370 0.765407 0.000272 0.139468 0.860260
1.690000 0.000227 0.237509 0.762264 0.000278 0.142400 0.857322
1.700000 0.000231 0.240630 0.759139 0.000283 0.145348 0.854368
1.710000 0.000234 0.243734 0.756032 0.000289 0.148312 0.851400
1.720000 0.000238 0.246820 0.752942 0.000294 0.151289 0.848417
1.730000 0.000242 0.249889 0.749869 0.000300 0.154280 0.845420
1.740000 0.000246 0.252939 0.746815 0.000305 0.157284 0.842411
1.750000 0.000250 0.255972 0.743778 0.000311 0.160300 0.839389
1.760000 0.000254 0.258986 0.740760 0.000317 0.163328 0.836356
1.770000 0.000258 0.261983 0.737760 0.000322 0.166366 0.833312
1.780000 0.000262 0.264961 0.734778 0.000328 0.169415 0.830257
1.790000 0.000266 0.267920 0.731814 0.000333 0.172473 0.827194
1.800000 0.000269 0.270861 0.728869 0.000339 0.175539 0.824122
1.810000 0.000273 0.273784 0.725943 0.000345 0.178614 0.821042
1.820000 0.000277 0.276688 0.723035 0.000350 0.181696 0.817954
1.830000 0.000281 0.279573 0.720145 0.000356 0.184784 0.814860
1.840000 0.000285 0.282440 0.717274 0.000362 0.187879 0.811760
1.850000 0.000289 0.285289 0.714422 0.000367 0.190979 0.808654
1.860000 0.000293 0.288119 0.711589 0.000373 0.194083 0.805544
1.870000 0.000297 0.290930 0.708774 0.000379 0.197192 0.802429
1.880000 0.000301 0.293723 0.705977 0.000384 0.200305 0.799311
1.890000 0.000304 0.296497 0.703199 0.000390 0.203420 0.796190
1.900000 0.000308 0.299252 0.700439 0.000395 0.206537 0.793067
1.910000 0.000312 0.301989 0.697698 0.000401 0.209656 0.789943
1.920000 0.000316 0.304708 0.694976 0.000407 0.212777 0.786817
1.930000 0.000320 0.307408 0.692272 0.000412 0.215898 0.783690
1.940000 0.000324 0.310090 0.689586 0.000418 0.219018 0.780564
1.950000 0.000328 0.312754 0.686918 0.000424 0.222138 0.777438
1.960000 0.000332 0.315399 0.684269 0.000429 0.225257 0.774314
1.970000 0.000335 0.318027 0.681638 0.000435 0.228375 0.771190
1.980000 0.000339 0.320636 0.679025 0.000440 0.231490 0.768070
1.990000 0.000343 0.323227 0.676430 0.000446 0.234603 0.764952
2.000000 0.000347 0.325801 0.673853 0.000451 0.237712 0.761837
2.010000 0.000351 0.328356 0.671293 0.000457 0.240818 0.758725
2.020000 0.000354 0.330894 0.668752 0.000462 0.243919 0.755618
2.030000 0.000358 0.333414 0.666228 0.000468 0.247016 0.752516
2.040000 0.000362 0.335916 0.663722 0.000473 0.250108 0.749418
2.050000 0.000366 0.338402 0.661233 0.000479 0.253195 0.746327
2.060000 0.000369 0.340869 0.658761 0.000484 0.256275 0.743241
2.070000 0.000373 0.343319 0.656308 0.000489 0.259348 0.740162
2.080000 0.000377 0.345752 0.653871 0.000495 0.262415 0.737090
2.090000 0.000381 0.348167 0.651452 0.000500 0.265474 0.734026
2.100000 0.000384 0.350565 0.649051 0.000505 0.268525 0.730969
2.110000 0.000388 0.352946 0.646666 0.000511 0.271568 0.727921
2.120000 0.000392 0.355310 0.644298 0.000516 0.274602 0.724882
2.130000 0.000395 0.357657 0.641947 0.000521 0.277628 0.721851
2.140000 0.000399 0.359988 0.639613 0.000527 0.280644 0.718829
2.150000 0.000403 0.362302 0.637295 0.000532 0.283651 0.715818
2.160000 0.000406 0.364600 0.634994 0.000537 0.286647 0.712816
2.170000 0.000410 0.366881 0.632709 0.000542 0.289634 0.709824
2.180000 0.000414 0.369146 0.630440 0.000547 0.292610 0.706843
2.190000 0.000417 0.371395 0.628188 0.000552 0.295575 0.703873
2.200000 0.000421 0.373628 0.625951 0.000557 0.298530 0.700913
2.210000 0.000424 0.375846 0.623730 0.000562 0.301473 0.697965
2.220000 0.000428 0.378047 0.621525 0.000567 0.304404 0.695029
2.230000 0.000432 0.380233 0.619335 0.000572 0.307324 0.692104
2.240000 0.000435 0.382404 0.617161 0.000577 0.310231 0.689191
2.250000 0.000439 0.384560 0.615002 0.000582 0.313127 0.686291
